v1,v2,v3,v4
212,82.5,59.9,Municipal - DAEM
254,90.2,73.2,Municipal - DAEM
1272,76.5,52,Municipal - DAEM
147,86.4,67.3,Municipal - DAEM
322,96.6,82.9,Municipal - DAEM
254,88.2,71.3,Municipal - DAEM
211,91.9,74.9,Municipal - DAEM
155,96.8,81.9,Municipal - DAEM
196,85.2,73.5,Municipal - DAEM
175,88,70.3,Municipal - DAEM
231,96.1,82.7,Municipal - DAEM
335,93.7,80.6,Municipal - DAEM
288,93.4,80.2,Municipal - DAEM
351,92.9,79.5,Municipal - DAEM
797,88.1,70.1,Municipal - DAEM
381,92.7,74.5,Municipal - DAEM
139,92.8,78.4,Municipal - DAEM
188,92,77.1,Municipal - DAEM
246,89,71.1,Municipal - DAEM
410,95.4,84.4,Municipal - DAEM
254,96.1,77.2,Municipal - DAEM
279,91.8,73.1,Municipal - DAEM
136,93.4,73.5,Municipal - DAEM
38,94.7,76.3,Municipal - DAEM
226,96,83.2,Municipal - DAEM
326,96,75.2,Municipal - DAEM
19,100,78.9,Municipal - DAEM
12,91.7,83.3,Municipal - DAEM
9,100,77.8,Municipal - DAEM
559,69.8,47,Particular Subvencionado
386,77.7,57.5,Particular Subvencionado
9,66.7,66.7,Particular Subvencionado
1810,77.1,56.4,Particular Subvencionado
565,39.1,25.3,Particular Subvencionado
428,67.3,46.3,Particular Subvencionado
431,51.7,33.2,Particular Subvencionado
4,100,75,Municipal - DAEM
25,88,84,Municipal - DAEM
1,100,100,Municipal - DAEM
7,100,85.7,Municipal - DAEM
5,100,100,Municipal - DAEM
10,100,90,Municipal - DAEM
110,93.6,86.4,Municipal - DAEM
19,100,100,Municipal - DAEM
4,100,100,Municipal - DAEM
3,100,100,Municipal - DAEM
3,100,100,Municipal - DAEM
1,100,0,Municipal - DAEM
4,100,100,Municipal - DAEM
2,100,100,Municipal - DAEM
1,100,100,Municipal - DAEM
1,100,100,Municipal - DAEM
11,90.9,81.8,Municipal - DAEM
5,100,80,Municipal - DAEM
3,100,66.7,Municipal - DAEM
6,100,100,Municipal - DAEM
3,100,100,Municipal - DAEM
2,100,100,Municipal - DAEM
350,76.6,53.1,Municipal - Corporacion
38,84.2,52.6,Administracion delegada
18,94.4,77.8,Municipal - Corporacion
450,77.3,55.6,Municipal - Corporacion
322,78.6,61.5,Municipal - Corporacion
430,77.4,58.6,Municipal - Corporacion
575,84,59.5,Municipal - Corporacion
315,84.1,64.8,Municipal - Corporacion
278,90.6,68.3,Municipal - Corporacion
223,85.2,57.8,Municipal - Corporacion
188,91,71.8,Municipal - Corporacion
229,84.3,58.1,Municipal - Corporacion
234,85,67.1,Municipal - Corporacion
629,76,53.7,Municipal - Corporacion
428,82.5,64.5,Municipal - Corporacion
584,39.9,22.4,Particular Subvencionado
47,85.1,44.7,Particular Subvencionado
257,48.6,30.4,Particular Subvencionado
158,58.2,35.4,Particular Subvencionado
964,31.4,17.2,Particular Subvencionado
403,70.5,49.1,Particular Subvencionado
216,72.2,54.6,Particular Subvencionado
239,64.4,42.3,Particular Subvencionado
12,91.7,66.7,Municipal - DAEM
42,97.6,83.3,Municipal - DAEM
1,100,100,Municipal - DAEM
2,100,100,Municipal - DAEM
24,95.8,87.5,Municipal - DAEM
158,88,78.5,Municipal - DAEM
31,100,100,Municipal - DAEM
74,86.5,81.1,Municipal - DAEM
5,60,60,Municipal - DAEM
14,85.7,50,Municipal - DAEM
4,75,75,Municipal - DAEM
4,100,100,Municipal - DAEM
7,100,85.7,Municipal - DAEM
15,100,86.7,Municipal - DAEM
16,100,93.8,Municipal - DAEM
2,100,100,Municipal - DAEM
8,87.5,75,Municipal - DAEM
73,98.6,94.5,Municipal - DAEM
1,100,100,Municipal - DAEM
3,100,100,Municipal - DAEM
2,100,100,Municipal - DAEM
223,70,51.1,Municipal - DAEM
104,74,62.5,Municipal - DAEM
37,75.7,56.8,Municipal - Corporacion
460,76.5,54.6,Municipal - Corporacion
164,92.7,78.7,Municipal - Corporacion
12,75,66.7,Municipal - Corporacion
72,88.9,77.8,Municipal - Corporacion
464,77.2,59.3,Municipal - DAEM
498,82.5,68.3,Municipal - DAEM
308,89,79.5,Municipal - DAEM
351,80.6,68.9,Municipal - DAEM
263,78.3,65.8,Municipal - DAEM
652,43.7,30.5,Particular Subvencionado
561,47.4,40.1,Municipal - DAEM
13,76.9,46.2,Municipal - DAEM
388,72.9,56.7,Municipal - Corporacion
660,73.2,55.6,Municipal - Corporacion
882,56.1,33.8,Municipal - Corporacion
1015,64.4,46.3,Municipal - Corporacion
1348,65.9,47.9,Municipal - Corporacion
509,57.6,39.1,Municipal - Corporacion
588,55.3,37.6,Municipal - Corporacion
494,66.6,46,Municipal - Corporacion
667,56.2,38.2,Municipal - Corporacion
433,76,58,Municipal - Corporacion
